Tree 0 Cell 25
Particle	Kpg	KInhibitPu	Kdp	Kpp	KInhibitGata	Kdg
0	12.060300103882833	72.82422627862056	0.08855733838140105	4.236083521614183	34.69030003240437	0.0970502716546767
1	37.68306717027128	12.314653365286219	0.4326725119932603	17.448514017465715	0.41929605146769555	2.372107584589031
2	7.462899644325285	13.887086689951813	0.7128378554183682	2.8005766692404137	16.45874888431958	0.9029404263647167
3	15.06867491301532	26.480385639032452	0.6319950638447623	14.784230573559347	9.773544943907734	0.49588277448110285
4	26.14921772722234	33.974005198368054	0.13226911354465265	70.29590630836724	5.187772021543497	0.06395648515734505
5	2.3632003296099238	2.9322752013778723	0.3107554905006421	49.20011463123475	51.85163467334894	0.4551145906191856
6	4.184141697674034	54.85960004358209	0.003732157405643582	2.7098298348063277	12.319393542052845	0.5920879796941602
7	11.240246042163141	28.92048630494152	0.1004591739519078	20.845966593625914	59.746735572777276	0.19482485243918188
8	60.91214414191159	27.0892591866878	0.7026931003234893	11.611966324253027	19.682978787810942	1.75897706255417
9	2.3632003296099238	2.9322752013778723	0.3107554905006421	49.20011463123475	51.85163467334894	0.4551145906191856
10	35.90808104819551	9.309331968482896	0.9686563481988184	21.36702107570579	42.532811937572184	0.2174439305270503
11	24.946497699339254	26.30765732101244	1.3294834924151553	1.046633652346595	24.951029308475956	0.3805398543648955
12	6.651281148313598	19.405438507513956	0.534114926911972	67.9591617049022	2.4797298573440165	0.40516644096082227
13	12.060300103882833	72.82422627862056	0.08855733838140105	4.236083521614183	34.69030003240437	0.0970502716546767
14	60.91214414191159	27.0892591866878	0.7026931003234893	11.611966324253027	19.682978787810942	1.75897706255417
15	12.286428143352287	2.3615486391737934	1.4745781490868473	1.734372472068081	3.9449465815838294	0.7243546770777393
16	10.049143508430141	0.1749819564965409	1.105013185154703	71.46750052467434	16.247387818480988	0.1260903413422855
17	6.125155368131282	24.502123660823873	0.12450665905820843	12.009619989842486	4.968299796255146	0.1750503428648194
18	16.029467430380056	31.978600900534612	0.11588883897944419	47.052224369622664	24.859417268716815	0.4757162750167896
19	16.029467430380056	31.978600900534612	0.11588883897944419	47.052224369622664	24.859417268716815	0.4757162750167896
20	0.001130165173435368	0.4549142957743555	0.871015714870906	6.634201360662227	5.851902336043482	0.3969427035102027
21	28.990552639861512	37.98065999204174	0.001445927374801204	52.98150860153422	14.469099626777517	0.9387030465969566
22	2.3632003296099238	2.9322752013778723	0.3107554905006421	49.20011463123475	51.85163467334894	0.4551145906191856
23	26.14921772722234	33.974005198368054	0.13226911354465265	70.29590630836724	5.187772021543497	0.06395648515734505
24	29.34794534694424	6.80134222635193	0.013168114846075678	38.61076667752025	9.143090716408183	0.09684631924669675
25	16.029467430380056	31.978600900534612	0.11588883897944419	47.052224369622664	24.859417268716815	0.4757162750167896
26	3.8412260183903544	31.489294493174437	0.028408207404846734	35.128747957631	30.913306783152034	0.4775418747411668
27	0.23804575463552843	60.95875994991909	0.07681865915758974	14.4846845411795	14.73901068345704	0.39730738771424357
28	3.3899058859509767	11.340832086698073	0.9155270314389778	5.152600424715088	0.8736856336249025	0.200226730610606
29	26.14921772722234	33.974005198368054	0.13226911354465265	70.29590630836724	5.187772021543497	0.06395648515734505
30	6.651281148313598	19.405438507513956	0.534114926911972	67.9591617049022	2.4797298573440165	0.40516644096082227
31	3.4290288441434047	4.3897437828343175	0.6398996502987948	7.8031608243046096	3.8943581062410373	0.23394360574497852
32	27.401034715902412	17.468659565898474	0.12476521548439157	64.01635247324829	16.577750004815403	0.00852447308788462
33	16.029467430380056	31.978600900534612	0.11588883897944419	47.052224369622664	24.859417268716815	0.4757162750167896
34	60.91214414191159	27.0892591866878	0.7026931003234893	11.611966324253027	19.682978787810942	1.75897706255417
35	0.23804575463552843	60.95875994991909	0.07681865915758974	14.4846845411795	14.73901068345704	0.39730738771424357
36	26.14921772722234	33.974005198368054	0.13226911354465265	70.29590630836724	5.187772021543497	0.06395648515734505
37	6.125155368131282	24.502123660823873	0.12450665905820843	12.009619989842486	4.968299796255146	0.1750503428648194
