time	Pu1	Gata1
0.0	1.0	1.0
50.0009899624	35.3853105736	2.37974721096
100.057269468	41.955948118	2.38943749053
150.080152414	34.6255456499	4.08988914031
200.031147295	18.1738275608	5.52877672994
250.004684954	6.30962929529	19.804374845
300.061862033	5.58727939346	18.9982713924
350.052015474	35.4434573509	3.2996475073
400.016134736	42.708915554	2.9734861301
450.007647611	39.399132246	2.20889918054
500.020403133	39.2611676178	2.01216974145
550.031458627	30.1403138235	2.98223946714
600.105729468	15.7497714207	7.26604608673
650.24632607	7.39477246033	17.1164806424
700.413223423	5.79677373992	16.3672576443
750.01838018	17.8721368474	6.32256112557
800.262476851	18.9867644327	5.98890279871
850.063936087	30.1879189029	4.02509901519
900.001482343	44.6367507227	2.06774501161
950.086830036	47.3027988793	1.66708849724
1000.01005989	47.5224767706	1.79772928592
1050.38198299	34.5381368393	3.93481303546
1100.13462857	38.6635748657	3.00911816531
1150.16515127	24.987596349	2.28809298742
1200.14281402	29.4182473396	4.63957157603
1250.09483017	29.154554503	3.56124097569
1300.02354952	32.4093182253	3.57962435474
1350.06936734	8.11508854151	21.5158924304
1400.23219187	11.2818484273	10.2550677045
1450.36995379	22.0916221019	4.928950875
1500.13957712	5.27296870202	12.6481428279
1550.11052197	4.64400607887	18.7572587409
1600.05780133	2.67159143547	31.8198677628
1650.22074998	2.46204713559	28.6811246793
1700.05689865	4.7614940639	13.6260753055
1750.49005022	13.4845945963	18.6818257864
1800.13013555	4.18390660938	27.7390420655
1850.02043338	3.15790344852	28.0937327732
1900.09293232	2.99331238043	35.4432601962
1950.04033209	2.18697569375	34.8008800389
2000.15324221	1.58576858181	53.1977324379
2050.0290176	1.27959030167	46.5312166034
2100.10215792	3.11788211651	38.0013450502
2150.1072552	2.21103979901	45.7814764779
2200.06834009	1.68443155212	47.9561652964
2250.04640224	2.12229049059	37.3829321179
2300.00983449	4.16181206779	38.4517172441
2350.19805871	8.76743167711	15.2936454328
2400.05600121	4.90107153017	26.1707945651
2450.03125394	3.8533993966	25.0532319938
2500.11950619	2.7268613559	47.9297388855
2550.00014485	3.36337953312	28.3075733318
2600.00829696	3.62515977108	34.2157481058
2650.05417129	2.27368436668	48.0170572684
2700.10193102	1.981557383	36.9511159359
2750.05781968	1.56922379797	51.5002321227
2800.03108406	1.88246876398	45.3483351595
2850.03692303	2.16609958667	35.7396007387
2900.30468296	4.40214095757	26.6641152743
2950.00516474	4.94561524808	22.0760081412
3000.01133515	3.24342370331	26.5945253709
3050.04313168	3.87206582893	29.1849980427
3100.03509356	2.3589803154	48.7226803107
3150.00232816	1.81284854839	37.1135987055
3200.06974777	10.461695999	15.1083481687
3250.13873791	3.4733097198	25.944233578
3300.15249221	5.64540966523	19.8398223567
3350.06869146	2.19450739147	32.1515402493
3400.10895227	2.86970011165	29.086502224
