time	Pu1	Gata1
7300.03473186	18.646453686	21.0360524942
7350.04659013	19.2611839497	21.9083600408
7400.04414967	18.558224282	20.6730782053
7450.07181696	18.6972941455	20.058144802
7500.00423005	21.5948137071	18.9012497341
7550.01404479	22.36121495	18.8050973124
7600.00016518	21.8335186784	19.9831045348
7650.03421396	21.0981761087	20.2779721737
7700.01480865	21.7530690994	20.5723123075
7750.02013221	19.1932367269	19.5510006205
7800.00203583	19.543922762	20.738243489
7850.0010823	20.323989531	20.822527471
7900.02468396	20.9049983702	19.3071134601
7950.0540872	21.3049184632	18.2082213078
8000.00921519	20.9728162173	17.2846709826
8050.0043086	20.9785115074	18.118737658
8100.0210441	20.7150326424	18.3060837867
8150.0161266	22.0346055326	17.6435138687
8200.00363886	21.6271298068	18.6659463454
8250.02590275	20.5295921508	20.0462969934
8300.00142317	21.4960066301	18.628938985
8350.01805625	20.1952584269	20.514188116
8400.05134554	19.391585464	20.9762145883
8450.01567761	19.8060910093	19.9571031806
8500.0145144	22.1826737815	18.9155181708
8550.00331047	22.6757259615	17.8933556812
8600.02269781	22.571627644	16.9252651756
8650.03386522	22.8272809516	17.2456971428
8700.00855426	20.7497982082	19.595060922
8750.00532143	21.4370886445	18.695174875
8800.00982327	20.411407729	18.9790500462
8850.02388408	21.8659067227	19.5580788597
8900.01533769	21.5691680941	19.0749419141
8950.01712441	20.0184893084	18.1858393418
9000.00864044	19.3027600022	18.9182749997
9050.01455043	19.6121104786	18.4266293388
9100.00835152	21.395492759	19.7163973658
9150.00798255	22.4975811818	18.022402192
9200.00302596	23.2195040557	18.8692358452
9250.00476772	22.5085242386	19.6643114747
9300.01450516	21.6002504993	19.3879700408
9350.02747455	20.4631170311	18.4650644483
9400.05290979	21.8250595371	17.3633354089
9450.0171152	21.3828593117	19.0828870348
9500.00991532	19.7131646256	20.5032713185
9550.07786819	20.0857041966	18.9261762869
9600.02946719	21.2627479503	20.4795853615
9650.06174217	20.9338756657	20.009690311
9700.01547511	20.6307920873	19.3217613045
9750.01117189	21.2884804735	19.2583491801
9800.04123462	20.0503087939	20.2141637651
9850.02059125	20.9576914703	18.6683480769
9900.00573431	21.426880697	17.7594866574
9950.02394168	21.5852451911	19.4504928212
10000.0154176	20.2644900571	19.8963285814
10050.0097865	21.200823707	18.7814000115
10100.0248116	19.8320378825	18.5239256283
10150.0145722	20.6848539964	19.2424563754
10200.0258741	20.2683101996	19.4648521783
10250.0148721	20.0628265223	17.8250933045
10300.0009026	20.3766024842	19.177596926
10350.0072734	19.6282061292	20.2335572018
10400.0961309	19.7893204362	20.5449133672
10450.0301768	20.5394073736	18.8811943878
10500.0060017	21.2371460194	18.7027837014
10550.0001772	21.2985589901	18.7844878806
10600.0327603	20.9435610306	18.4476931575
10650.0787609	22.889846408	19.3355280064
10700.0087839	22.560179648	16.6599309804
10750.0094239	24.4584172542	18.2749357094
10800.0282936	24.6475163064	16.5448980166
10850.0056189	25.0209086516	16.4394448949
10900.0076332	24.5428336988	17.808917628
10950.0335936	24.0078198425	17.5043841092
11000.0475165	23.5043430579	16.7686113589
11050.0657206	22.9160954516	17.0595309388
11100.0217131	24.3776529754	16.5434272587
11150.0142095	24.1709801488	15.9630160482
11200.0198204	24.8085264047	15.3784648632
11250.0101979	22.7442980589	16.5690895134
11300.0388171	23.7208207431	17.1076200416
11350.0332954	25.1517851358	16.0911525883
11400.0382762	24.810867322	15.3743689751
11450.0436362	26.6221334154	14.3139152527
11500.0161061	26.9259185914	14.7021502998
11550.014788	26.5800816462	13.637828499
11600.0087116	25.2527725193	13.9403935151
11650.0058814	25.0006011573	13.6399230669
11700.0046242	26.9188915286	13.7971466403
11750.0086709	27.2013554935	15.0633644381
11800.0568018	26.0878238869	14.1746661287
11850.0149414	27.1280264087	13.6396090236
11900.0048756	27.724027916	14.1310914331
11950.0314024	27.057171728	16.2176585157
12000.1163999	25.9588971741	15.3927577947
12050.0053602	25.2771942741	15.3891623378
12100.0218691	24.3572428351	15.1135527939
12150.0122759	24.2429415613	16.2201063801
12200.0173015	23.8596045652	17.5646352282
12250.0045738	22.691501801	17.7347661951
12300.0028538	22.5931101825	18.0661876739
12350.0130373	22.1588250791	17.6476686257
12400.0094542	22.7622968599	16.5811635308
12450.0024528	23.4855018456	17.2642549365
12500.0077737	23.8079303911	17.255467571
12550.0018315	23.3371403411	17.0594349221
12600.0024467	22.9565865604	17.0616208281
12650.0131147	24.3577305466	15.9792547714
12700.0089875	24.5843106143	14.2135033225
12750.0313269	25.892112547	14.0181083133
12800.0017231	25.6142855323	15.3485874947
12850.0289389	25.669586443	15.5581508532
12900.0024642	24.7581499186	16.0574790586
12950.0364329	25.591064309	15.9911946778
13000.0046443	24.7366280889	16.1082200422
